Catalog Number, Description, 2022, 2021, 2020, 2019
1366912, TRANSF PIPET 6IN POLYE 500/CS, 177.76, 177.76, , 
13674401, E1-CLIPTIP MULTI CHARGE STAND, 554.84, 528.69, , 
1367515B, PIPET SERO 1X1/100ML/1000/CS, 265.51, 232.93007999999998, 239.64, 240.72
1367516, PIPET ASPRATNG INDV 2ML 200/CS, 66.2, 59.37, 61.08, 61.36
1367517, PIPET 2X1/100 IND WRAP 1000/CS, 325.36, 288.99503999999996, 297.32, 
1367520, PIPET SEROLOGICAL 10ML 200/CS, 92.43, 81.14256, 83.48, 83.86
1367521, PIPET SEROL 5 X 1/10ML 500/CS, 183.99, 169.13, 174.0, 164.22
1367522, PIPET SEROL 5ML X 1/10 200/CS, 88.54, 78.3918, 80.65, 81.01
1367527, PIPET SERO 50ML INDIV 100/CS, 207.39, 181.4724, 186.7, 187.54
1367530, PIPT SEROL 25ML STR IND 200/CS, 191.47, 164.84148, 169.59, 170.36
1367548, PIPET SER1X10 5ML 200/CS, 97.95, 97.95, 100.77, 95.7
1367549, PIPET SER1X10 10ML 200/CS, 95.32, 94.16, 96.87, 91.87
1367550, PIPET SER1X4 25ML 200/CS, 201.54, 199.43, 205.18, 
1367552, PIPET SEROLOGICAL 50ML 100/CS, 217.41, 215.46, 221.67, 210.1
1367610F, PIPET STER 10ML(0.1GRAD)500/CS, 67.95, 63.35, 63.35, 63.35
1367610H, PIPET STER 5ML(0.1GRAD)200/CS, 23.56, 23.27, 22.86, 22.86
1367610J, PIPET STER 10ML(0.1GRAD)200/CS, 24.74, 24.32, 23.89, 23.89
1367610K, PIPET STER 25ML(0.2GRAD)200/CS, 57.84, 57.84, 56.75, 56.75
1367610R, PIPET STER 50ML(0.5GRAD)100/CS, 94.03, 87.67, 87.67, 87.67
1367811, PIPET STER 25ML(0.08GRAD)200CS, 64.36, 61.2, 60.0, 60.0
1367811B, PIPET STER 1ML(0.01GRAD)1000CS, 81.79, 76.26, 76.26, 76.26
1367811C, PIPET STER 2ML(0.01GRAD)500/CS, 46.37, 43.24, 43.24, 43.24
1367811D, PIPET SER STL 1/10 5ML 200/CS, 27.2, 27.2, 23.15, 23.15
1367811E, PIPET STER 10ML(0.1GRAD)200/CS, 26.0, 24.69, 24.24, 24.24
1367811F, PIPET WRAP 50ML(0.5GRAD)100/CS, 92.65, 88.04, 86.38, 86.38
1367812E, PIPET STER 10ML(0.1GRAD)500/CS, 63.12, 58.85, 58.85, 58.85
1367820A, PIPET DISP 5 3/4 IN 720/CS, 26.31, 27.23, 26.57, 26.57
1367820B, PIPET DISP 5 3/4 IN 1440/CS, 49.9, 49.2, 48.32, 48.32
1367820C, PIPET DISP 9 IN 720/CS, 27.49, 27.61, 27.07, 27.07
1367820D, PIPET DISP 9 IN 1440/CS, 54.93, 54.04, 52.88, 52.36
1367827E, PIPET STL 5X1/10ML 500/CS, 112.32, 115.85, 113.7, 113.7
1367827F, PIPET STL 10X1/10ML 500/CS, 124.25, 121.41, 119.03, 117.85
1367836C, PIPET SHORTY 10ML IND 200/CS, 141.43, , , 
1367836D, PIPET SHORTY 25ML IND 200/CS, 165.26, 161.94, 159.09, 159.09
136786A, PIPET DISP 5-3/4IN 250PK, 10.96, 11.33, 11.14, 11.14
136786B, PIPET DISPOS 9IN 250PK, 12.05, 12.48, 12.25, 12.25
1368050, PIPET TRANSFER 6IN PE 500PK, 67.25, 67.25, 69.19, 69.5
1368059, TCFLSK 75CM2PLUGSEALCANTD 60CS, 142.28, 125.95176000000001, , 127.36
1368062, MCRTN LTH HP MCRGD CL 50/PK RX, 58.61, 58.61, , 
1368065, TCFLSK 75CM2 VENTD CANTD 60CS, 158.67, 142.9812, 147.1, 147.76
1368106, PIPET-AID XP GRAVITY DRAIN100V, 413.53, 413.53, 411.28, 399.26
13681110, PIPET-AID XL EA, 513.58, 513.58, 510.97, 
1368115B, BATTERY F/PIPETAID GV NI/MH, 21.58, 21.65, 20.98, 19.2
1368115E, PIPET-AID PORTABLE MDL XP 110V, 358.39, 369.52, 368.06, 357.3
13681161, PIPET-AID XP2 PORTABLE (EA), 309.3, 286.71, 284.85, 272.0
1368118C, REPLACE FILTERS 5/PK, 25.78, 26.4, 26.18, 24.46
1368118E, REPLACE FILTERS 50/PK, 221.47, 221.47, 220.86, 
1368119, PORTABLE PIPET AID 110V, 331.8, 331.8, 330.53, 307.43
13681500, PIPET BASIN NS PVC 50ML 100/CS, 35.65, 33.86, 33.86, 33.86
13681501, PIPT BASIN STERILE PS 50ML80CS, 67.45, 64.3, 63.96, 63.96
13681502, PIPET BASIN STR PS 50ML 200/CS, 68.15, 64.05, 63.68, 63.68
13681508, REAGENT RESERVOIR 25ML ST IND, 48.85, 46.31, , 46.06
13681509, REAGENT RESERVOIR 25ML ST BULK, 37.72, 34.95, 34.95, 
13681524, BEATUS - BOTTLE TOP DISPENSER, 361.16, 376.49, , 
13681526, BEATUS - BOTTLE TOP DISPENSER, 373.59, 389.44, , 
1368220, PIPET-AID HOOD MATE 110V, 382.19, 382.19, , 352.89
13683602, SEROL. PIPET 5 ML 400/CS, 209.86, , , 
13683603, SEROL. PIPET 10 ML 400/CS, 191.32, 190.47, , 
13683604, SEROL. PIPET 25 ML 200/CS, 197.02, 196.12, , 188.46
13683702, CBT. ADVANCED 0.5ML STANDARD, 135.1, 134.89, 137.63, 
13683703, CBT. ADVANCED 1ML STNDRD 100CS, 135.1, 134.89, 137.63, 
13683704, CBT. ADVANCED 2.5ML STANDARD, 135.1, 134.89, 137.63, 
13683705, CBT. ADVANCED 5ML STNDRD 100CS, 121.21, 121.02, 117.41, 
13683706, CBT ADVANCED 10ML STNDRD 100CS, 135.1, 134.89, , 
13683707, CBT ADVANCED 25ML STNDRD 100CS, 169.7, 169.05, , 
13683708, CBT ADVANCED 50ML STNDRD 100CS, 169.7, 169.05, , 
13683711, CBT. ADVANCED 0.5ML STERL100CS, 149.79, 149.22, , 140.87
13683712, CBT ADVANCED 1ML STERILE 100CS, 158.82, 158.21, , 
13683714, CBT ADVANCED 5ML STERILE 100CS, 149.79, 149.22, , 140.87
13683715, CBT. ADVANCED 10ML STERL100CS, 158.82, 158.21, 153.8, 
13683716, CBT. ADVANCED 25ML STERL100CS, 186.58, 186.91, , 
13683717, CBT. ADVANCED 50ML STERL100CS, 186.58, 186.91, , 
13687217, UF ASSEMBLY, 625.38, 615.09, 597.5, 
1368873, UV TRANS DSPSBLE CUVTTES 500PK, 560.4, 557.81, 553.71, 
13689034, DISPENSETTE S O DIG/R 0.5-5ML, 558.89, , , 
13689035, DISPENSETTE S ORG DIG/R 1-10ML, 557.35, 557.35, , 
136898, BD SYRING 50CC LUER-LOK 40PKRX, 58.18, 58.18, 59.86, 
13690025, RESEARCH PLUS 0.1-2.5UL PIPETT, 422.88, 422.88, , 
13690026, RESEARCH PLUS 0.5-10UL PIPETTE, 422.88, 422.88, 435.06, 
13690028, RESEARCH PLUS 2-20UL YELLOW, 422.88, 422.88, , 
13690029, RESEARCH PLUS 10-100UL YELLOW, 422.88, 422.88, 435.06, 
13690030, RESEARCH PLUS 20-200UL YELLOW, 422.88, 422.88, 435.06, 
13690032, RESEARCH PLUS 100-1000UL BLUE, 422.88, 422.88, 435.06, 
13690033, RESEARCH PLUS 0.5-5ML VIOLET, 422.88, 422.88, , 
13690034, RESEARCH PLUS 1-10ML TURQUOISE, 422.88, 422.88, 435.06, 
13698790, EPP LOBND GNOMC TB .5ML 250/PK, 38.13, 38.13, 36.31, 35.11
13698791, EP LOBND GNOMC TB 1.5ML 250/PK, 38.13, 38.13, 36.31, 35.11
13698794, EPP LOBND PRTN TB 1.5ML 100/PK, 31.81, 31.22, , 
13698795, EPP LOBND PRTEN TUB 2ML 100/PK, 31.81, 31.22, , 
13700420, HYPERFLASK M 4/CS, 552.88, 552.88, 568.81, 542.23
13700421, HYPERFLASK 1720CM2 4/CS, 574.73, 574.73, , 
13709140, CRYOELITE TSSUVL WHTSTRL 250CS, 246.51, 246.51, 253.61, 250.11
1371124, 3.9ML NS TRANS PIPET W1ML GRAD, 39.4, 39.4, 36.2, 34.48
1371158, CUP SPEC PP STER 90ML 400/CS, 183.77, 177.78, , 
137117M, FB TRNS PPT STD 7.7ML NS 5C/PK, 11.19, 10.8, 10.8, 10.64
137119AM, TRNS PPT 5.8ML NS GRD 5CPK, 11.31, 10.92, 10.92, 10.77
137119BM, FB TRNSFR PIPT 5.8ML ST 500/PK, 25.41, 24.53, , 24.16
137119CM, FB TRNS PPT 5.8ML ST GRD 500PK, 17.27, 16.67, 16.67, 16.43
137119D, TRNS PPT 7.5ML NS GRD 5C/PK, 62.07, 60.76, 56.11, 
1371199, BLD BNK PIPET 5ML NS 500/PK, 75.09, 72.36, , 
13735736, BAL ACC GRANITE VIBRATION ISOL, 707.97, 725.43, , 
13756684, FLASK VOL CLR HVY DUTY WM 6/CS, 147.76, 147.76, , 142.88
1376152, GZ PAD NS 4X4 12PLY 200/PK, 11.18, 11.18, 11.09, 
13811109, ART 10 NF TIP NS LR RL 960/PK, 55.0, , , 
13811138, ART 200 RCH BAR TIP S RK 768PK, 112.03, 93.03984, , 
13811164, ART 1000 RCH BAR TIPS RK 768PK, 108.46, 88.6464, 89.73, 
13864406, TUBES 5ML SCREWCAPPCRCL200X, 76.66, 76.31, , 
13882246, CELLGRADE 96 WELL PLATE 50PK, 221.05, 217.1, , 
13882331, WHITE 96-WELL PCR 50PK, 414.27, 393.16, 389.22, 
13987243, SHELF ULT 28CF PERF FRZ, 568.52, , , 
13989218, DIVIDER GRID 1/2IN 81CELL 12PK, 35.95, 34.98, 33.92, 
13994070, BOX 2 W/81 CELL DIVIDERBOX 2, 9.11, 8.86, , 
13998104, 3307/10 HEPA KT CI, 434.36, 427.13, , 
13998152, REPLACEMENT IN CHAMBER HEPA FI, 130.65, 128.65, 124.3, 
1407060, LW PR MICROTM BLADE DISP 50/CS, 229.74, 229.74, , 
1407086, ACCSSRY GLASS ANTI-ROLL PLATE, 337.52, 342.92, , 
14100A, 100 PL PP FREEZER BX NAT 5/PK, 42.73, 43.97, , 
14100143, PLATE SPINNER CENTRIFUGE 120, 553.22, 554.34, 542.02, 
14100150, FLOWMI STRAINR P1000 40UM 50PK, 62.2, 61.13, 59.17, 
1412747, LINER ABS PP BCK 20INX300, 121.75, 125.2, 125.54, 
14127501, 20  X 300 BENCH LINER 2RLS/CS, 167.9, 173.06, , 
1417012A, TUBING PE .015INID 1X100FT, 287.74, 302.83, , 
1417012B, TUBING PE .023INID 1X100FT, 265.89, 279.6, , 
1417012P, TUBING PE.011INID 1X100FT, 263.83, 277.42, 264.55, 
1420627, VERSI-DRY BNCH PRTCT20X300 1CS, 228.2, 220.22, 213.6, 
1420630, VI-DRY BNCH PROT 20X300 2/CS, 372.97, 372.97, 383.71, 
1420632, VERSI-DRY SOAKER 18X20 350/CS, 375.44, 362.76, 352.92, 
1420634, VERSIDRY KDRY 20X300 LGHT 2/CS, 326.86, 315.51, , 
1420637, SPR VERSI-DRY PROT20X250 250CS, 253.8, 245.04, 237.68, 
1420638, SUPER VERSI-DRY 18X20 350/CS, 465.82, 450.05, 436.43, 
1420641, SPR VERSI-DRY PROT 18X40 25/PK, 78.78, 76.08, , 
1420662, FSHRBRND UNDERPAD 20X24 50/PK, 40.41, 40.41, 40.52, 
1420664, FBRND BENCH PROTECT 20X100, 46.56, 46.56, , 
1420665, FSHRBRND UNDRPAD 20X250 1CS, 85.46, 85.46, 85.7, 
14209300, WHIRL-PAK BAG 250/PK, 290.36, 289.71, , 
14222024, SILI MAT RND PCR PLATES 10PK, 106.14, 106.14, , 
14222144, MICROTBE 0.6ML CLR STER 500PK, 21.8, 21.8, , 22.53
14222155, MICROTUBE 1.5ML CLEAR 500PK, 24.51, 24.51, 25.22, 25.33
14222168, MICROTUBE 1.7ML CLEAR 500PK, 15.86, 15.86, 16.32, 16.39
14222248, TBE PCR.2ML 8 STRP ASST 125PK, 105.03, 105.03, 102.87, 103.33
14222251, TBE CAP .2 PCR 8STRP CLR 125PK, 82.04, 82.04, 84.4, 84.78
14222292, TBE PCR .5ML FLAT CAP CLR 1KPK, 29.35, 27.75, 28.55, 28.68
14222351, PLATE 96 DEEP WELL 1.1ML 5PK, 31.39, 31.39, 32.29, 
14222424, RESERVR SW 96 HP IND STER 25CS, 207.43, , , 
14222436, TIP REFL 1200UL UNV GRD 768PK, 44.83, 44.83, , 
14222437, TIP 200UL CLR REFIL GRAD 960PK, 55.41, 55.41, , 
14222438, TIP 10UL CLEAR REFILL 960PK, 59.66, 59.66, , 
14222690, TIP 1000UL BLUE BULK 1000PK, 31.31, 31.31, , 
14222721, TIP 200UL BEV YELL BULK 1000PK, 29.74, 29.74, 29.04, 
14222730, TIP 200UL WDE BR CLR RK 960PK, 82.96, 82.96, 81.46, 
14222778, TIP FIL 200UL RCKD STER 960PK, 123.24, 123.24, , 
14223152, AXY MAG PCR CLN UP KIT -50ML, 783.08, 783.08, 805.64, 
14223400, AXYGEN HALFSKIRT PCR MICROPLAT, 173.86, , , 
14223902, AXYGEN HORIZONTAL GEL BOX 15C, 479.55, 479.55, 443.82, 
14223903, AXYGEN HORIZONTAL GEL BOX 20C, 551.47, 551.47, 567.36, 
14230210, 0.25ML PCR 8 TB DCAP NT 250CS, 101.77, 104.93, 103.87, 
14230215, 0.25ML PCR 8 TB FCAP NT 250CS, 98.25, 100.49, 100.2, 100.2
14230225, 0.2ML PCR TB FLT CAP NT 1000CS, 23.2, 22.56, 22.37, 21.81
14230230, PCR 8 CAP STRIP FLAT NT 250CS, 75.11, 76.5, 75.53, 
14230232, PCR PLT 96 NO SKIRT NT 25CS, 62.01, 63.46, 62.64, 
14230244, PCR PLT 96 SEMI SKIRT NT 25CS, 51.68, 52.75, , 51.87
14245102, MICROSPATULA SCP/RND BTM 50CS, 166.48, 166.48, , 
14245145, 14245145PMT BTM STY DSP 50/CS, 140.32, 135.54, 129.33, 
14245153, IMMULON IV FLAT PLATES 50/CS, 206.14, 198.48, 192.44, 187.22
1424518, PLATE SEALERS 100/CS, 64.03, 57.67, 55.95, 54.35
1424561, IMMULON II FLAT PLATE 50/CS, 189.51, 182.67, 177.76, 172.35
1424571, DISP U PLATES RIGID STY 50/CS, 111.72, 111.72, 114.94, 
14278162, INNOVA ERLN FLSK CLAMPS 250ML, 38.54, 40.54, , 
14278163, INNOVA ERLN FLSK CLAMPS 500ML, 43.63, 45.74, , 
1428130, NBS CLAMP FERNBACH 2800ML, 106.02, , , 
14282300, EPPENDORF TUBE 5.0ML 200/CS, 58.32, 58.32, 57.31, 55.81
14282302, EPPEN TUBE 5.0ML STER 200/CS, 64.82, 64.82, , 60.82
14282310, TUBES 15MLSTERILE500 IN PP R, 216.13, 215.93, , 
14285753, STICKY PAD, 94.61, 98.86, , 
14287150, REPEATER M4, 579.11, 579.11, 595.79, 
14359800, LAB CHAIR HIGH NO SOIL W/CSTR, 482.01, 474.07, , 
14359810, CHAIR LOW W/BKRST PNEUMTC BLK, 364.77, 358.54, , 
14359813, CHAIR HIGH BKRST PNEUMTC BLACK, 496.93, 489.03, , 
14359880, LAB STOOL W/ BACK BLK CHR HI, 487.28, 479.68, , 
14360683, POLY DESK MED BACK AA TILT, 589.07, , , 
1437253, FB CERVEX BRUSH 1-STP 50/PK, 53.87, 52.83, 44.15, 
1437286, LCA 100 BLU SLIDE BOX PLS, 10.32, 9.4, 9.02, 
1437288, LCA 100 WH SLIDE BOX PLS, 10.32, 9.4, , 
1437365, OCT 4OZ TISSUE-TEK 12/CS, 214.71, 202.18, 194.0, 189.73
14375150, CENT TB FREESTNDNG 50ML 500/CS, 269.31, 142.77, , 
14375265, SM BNCH TOP KEEP 4X4X7IN100CS, 219.92, 231.43, , 
14375266, LG BNCH TOP KEEP 6X6X10IN 50CS, 212.38, 220.21, , 
14375268, PIPET KEEPERS 3X3X14 1/2 50CS, 174.73, 183.38, 169.03, 
14377012, CUVETTES PS DSP 3.0ML 500/PK, 136.64, 135.77, , 
14377847, SAMPLE TUBE PP 16X75MM 1000/CS, 133.72, 127.13, , 
1437789, VIAL 2 OZ CLR LOCKSEAL 600/CS, 228.55, 213.61, 206.39, 
1437929, SOAP SOFTCIDE-NA 32 OZ., 24.11, 24.11, , 
14385995, STOPPERS DISP TT PE 16MM M/CS, 68.51, , , 
14386305N, FINNPIPETTE F1 2-20UL, 465.63, 449.59, 427.1, 
14386307N, FINNPIPETTE F1 20-200UL, 465.63, 449.59, 427.1, 
14386309N, FINNPIPETTE F1 100-1000UL, 465.63, 449.59, 427.1, 
14386311N, FINNPIPETTE F1 1-10ML, 466.9, 450.82, 427.1, 
14386312, FINNPIPETTE F2 0.2-2UL MICRO, 465.41, 449.18, 425.82, 
14386315, FINNPIPETTE F2 1-10UL, 496.01, 479.62, , 
14386319, FINNPIPETTE F2 20-200UL, 458.75, 442.75, 419.72, 
14386320, FINNPIPETTE F2 100-1000UL, 465.41, 449.18, 425.82, 
14387038, HYDROPHBIC FLTRS 0.45 25/CS, 173.73, 165.64, , 162.59
14387067, MATRIX RESERVOIR 100ML 100/CS, 121.0, 121.0, , 
14387068, MATRIX RESERVOIR 100ML IW 50CS, 114.77, 99.71748, 102.59, 103.05
14387069, MATRIX RESERVOIR 25ML 100/CS, 117.34, 102.51684, 105.47, 105.95
14387070, MATRIX RESERVOIR 25ML IW 50CS, 114.77, 114.72, 118.02, 
14387072, MTRX RESERVOR 25ML DIV IW 50CS, 114.77, 113.2, 116.46, 
14387163, S1 PIPET FILLER WHITE, 415.13, 395.96, 369.33, 357.86
14387164, S1 PIPET FILLER CLEAR, 415.13, 395.96, 369.33, 357.86
14387165, S1 PIPET FILLER BLUE, 415.13, 395.96, 369.33, 357.86
14387166, S1 PIPET FILLER RED, 415.13, 395.96, 369.33, 357.86
14387167, S1 PIPET FILLER GREEN, 415.13, 395.96, 369.33, 357.86
14387221, 96EDGE FB LID CLR TRT SI CS160, 352.39, 340.5, , 
14387952BT, E1CLIPTIP SCP 10-300UL BT 1EA, 955.45, 922.61, , 
14387953BT, E1CLIPTIP 15-1250 UL BT 1EA, 955.45, 922.61, , 
14387983, CLIPTIP 1250 FILTER 768PK, 114.63, 111.77, 114.99, 
14387990, CLIPTIP384 30 FILTER10X384 1PK, 471.18, 470.33, 483.88, 
14387993, CLIPTIP384 125FILTER10X384 1PK, 471.18, 470.75, , 
14400373, IND POLY HI CHR CHR CAST T, 306.62, , , 
14400445, MESH MODERN CHR BSC T 3D ARMS, 216.75, 213.2, , 
1443222, TUBE SCREW CAP GRAD 500/CS, 269.07, 252.11, 259.37, 260.54
14488001, CLIPTIPS 20  RK STER PK960, 106.99, 106.99, 110.07, 
14488002, CLIPTIPS 50  RK STER PK960, 106.99, 106.99, 110.07, 
14488003, CLIPTIP 200 RK STER PK960, 106.99, 106.99, 110.07, 84.55 (matched with similar item: 14488058)
14488004, CLIPTIP 300 RK STER PK960, 106.99, 106.99, 110.07, 
14488008, CLIPTIP 200 RLD STER 960PK, 97.6, 97.6, 100.41, 
14488016N, F1 CLIPTIP 10-100UL, 407.42, 393.16, , 
14488019N, F1 CLIPTIP 100-1000UL, 407.42, 393.16, , 
14488039N, F1 CLIPTIP GLP KIT 1, 796.52, 796.52, 819.47, 
14488051, CLIPTIP 20 RLD PK960, 61.06, 61.06, 62.82, 
14488053, CLIPTIP 200 RLD PK960, 61.06, 61.06, 62.82, 
14490205, CIMAREC BASIC SHP 7X7 120VCIM, 325.45, 411.05, 399.78, 
14490205PM, CIMAREC BSC SHP 7X7 120VCIM PM, 252.8, , , 
1450925, SEMI-MICRO CNTNR SS 360ML, 492.61, , , 
14512121, MAGN-EGG-STIRBAR 3/4X3/8IN EA, 8.25, 8.58, 8.43, 
1451365, STIR BAR FLEA MICRO 10X3MM, 3.87, 4.02, 3.91, 
1451382, SPINBOX STIR BAR ASST 16/PK, 53.81, 56.05, 54.76, 
14533304, EZ CLM 15MM/150MM 2XF, 498.03, 454.75, , 
14555369, MEMBRANE DISC CA 100PK, 119.26, 112.43 (matched with similar item: 14555362), , 
14555419, MEMBRANE DISC PTFE 100PK, 430.81, 442.64, , 
14555994, SARTOLAB RF 500 12/PK, 137.78, 137.31, , 169.38
14555995, SARTOLAB RF 1000 12/PK, 239.53, 239.53, , 247.54
14558310, VIVAFLOW 50 PES 100 000MWCO2PK, 192.58, , , 
14558502, VIVASPIN 20 10K MWCO 48PK, 414.06, 414.06, 425.99, 427.92
14558505, VIVASPIN 20 30K MWCO 12PK, 122.98, 122.98, , 
14558660, VIVASPIN TURBO15 10K MWCO 48PK, 566.44, 566.44, 582.76, 585.39
14558662, VIVASPIN TURBO15 30K MWCO 48PK, 557.57, 557.57, 573.63, 584.88
14559469, BIOHITTIP 200 UL REFILL PK960, 36.28, 36.28, , 
14559489, BIOHITTIP 50-1200UL STER PK960, 81.34, , , 
14568101, MCT 5ML CLR STR 250PK, 61.14, 60.79, 62.54, 58.57
1464917, BIG DIGIT ALARM TIMER 4-CHANEL, 29.01, 29.89, 29.65, 
14665230, L CELL SPREADER STRL 500PK, 34.37, 33.17, 33.26, 
14666318, 1.5 ML NATURL PURE LL MCT100PK, 9.92, 9.94, 9.78, 
14666319, 1.5 ML NATURE LL MCT  500/PK, 12.27, 12.27, 12.08, 12.08
14726531, RODENT LIQUID DIET LIEBER-DE, 38.9, 37.63, , 
14726532, RODENT LIQUID DIET LIEBER-D, 37.64, 37.64, , 
14809135, RACK UNWIRE PP BLUE 16MM, 36.51, 35.02, , 
1480943, RACK UNWIRE TEST TUBE BL 16MM, 49.53, 47.56, 46.48, 
1481549, SYRINGE 75 HP23S/1.71IN 6PK, 382.0, 403.66, , 
14815526, NDL PRECISGLIDE 20GA 100/PK RX, 14.49, 14.49, , 
14817102, NEDLE22G X4IN AIR-TITE 100PKRX, 64.47, 64.59, 64.12, 
1481725, SYRNG 1MLHENKEJECT LS 100PK RX, 25.24, 24.43, 24.26, 
1481727, SYRNG3MLHENKEJECT LL100/PK RX, 31.07, 31.07, , 
1481728, SYRNG 5MLHENKEJECT LS 100/PK, 26.98, 23.81, 23.64, 
1481729, SYRNG 5MLHENKEJECT LL 100PK RX, 36.73, 36.73, , 
1481731, SYRNG 10ML HENJECT LL 100PK RX, 41.66, 41.76, 41.46, 
1481732, SYRNG 20ML HENJECT LS 100PK RX, 55.92, 49.71, , 
1482028, SYR INSULIN 26G 1CC 100/PK  RX, 46.47, 46.47, 47.81, 
1482113A, NEEDLE DISP HYPO 30GX1 100PKRX, 48.74, 48.74, , 
1482316E, SYR NS LUERLOK 10CC 850/CS  RX, 177.84, 206.43, 166.84, 
1482316H, SYRINGE 1CC NS3000/CSSYRINGERX, 409.26, 391.81, , 
14823168, VIAL SCRW 12X32 0.25ML 1000CS, 371.1, , , 
14823182, VIAL KT 2ML CLR WM PTFE 100PK, 112.69, 104.82, , 
148232E, TB SYR 1CC 26GX3/8IN 100/PK RX, 42.35, 42.35, 43.57, 
1482330, SYR 1ML LR-LK W/O ND 100/PK RX, 64.47, 64.47, 66.33, 
14823434, SYRINGE SLIP TIP 1ML 200/PK RX, 35.85, 35.85, 36.88, 
14823435, SYRINGE LUER LOCK 3ML 200/PKRX, 26.76, 26.76, 27.53, 
1482345, BD SS NO10 SCALPEL BLADE 10/PK, 19.32, 20.33, , 
148245, SYRINGE 50MICROL MODL 705N 1EA, 83.91, 88.29, 55.54, 
148246, SYRINGE 100UL 2IN MDL 710N, 94.41, 99.45, 62.91, 
1482515AK, NDL DEFLECT PNT 18GX12IN DZ, 371.18, 353.5, , 
14825251, FEEDING NEEDLE 18G 50MM 100/PK, 494.06, 471.67, , 
14825275, FEEDNG NDLE 20G 1 1/2IN 100PK, 431.66, 408.5, , 
14826AA, NEEDLE 25G 58 IN DISP 100PK RX, 13.02, 13.02, 13.39, 
14826B, NEEDLES 22GX1 IN 100/PK     RX, 15.83, 15.83, 16.29, 
14826C, NEEDLES 21GX1 IN 100/PK     RX, 15.83, 15.83, , 
14826D, NEEDLES 20GX1 IN 100/PK     RX, 14.8, 14.8, 15.23, 
14826F, NEEDLE 30 GAX1/2IN 100PK    RX, 41.04, 41.04, 42.22, 
1482610, NDL IN-BEVEL 26G3/8 100/PK  RX, 13.43, 13.43, , 
1482615, NEEDLES 26G 1/2 INCH 100/PK RX, 13.43, 13.43, 13.82, 
1482618B, NDL DISP 16X1 1/2 IN 100/PK RX, 30.02, 30.02, , 
1482648, HYPO NEEDLE 27G A5 100/PK   RX, 13.43, 13.43, 13.82, 
1482649, NEEDLE BEVL 25G1-1/2IN 100PKRX, 13.22, 13.22, , 
148265A, NEEDLES 22GX11/2 IN 100/PK  RX, 13.22, 13.22, 13.6, 
148265B, NEEDLES 21GX11/2 IN 100/PK  RX, 13.22, 13.22, 13.6, 
148265C, NEEDLES 20GX11/2 100/PK     RX, 14.8, 14.8, 15.23, 
148265D, NEEDLES 18GX11/2 100/PK     RX, 14.8, 14.8, 15.23, 
148266A, NDL PRECGLD 26GX5/8 IN C/PK RX, 12.96, 12.96, , 
148266B, NDL YALE 23GX1IN T.W. C/PK  RX, 14.05, 14.05, 14.45, 
1482665B, SHRP COL BDGRD CLR 5.4QT 12/CS, 9.55, 9.55, , 
1482679, SYRINGE U100 1/2CC 100/PK   RX, 41.67, 41.67, 42.87, 
1482687, SYR/NDL 1CC 27GX1/2IN C/PK  RX, 29.85, 29.85, , 
1482688, SYR/NDL TB 1CC 25GX5/8 C/PK RX, 26.99, 26.99, 27.77, 
14827104, CONTAINER RECTANGLE PLAS 7GAL, 14.94, 14.94, 14.27, 
14827122, INPATIENT CL/TOP RD BASE 5QT, 4.92, 4.78, 4.56, 
1482755F, CONTAINER SHARP 3GAL 10/CS, 128.11, 128.11, , 
1482763, CONTAINER SHARPS-A-GATOR 1GAL, 4.06, 4.06, 3.88, 
1482773, CONTAINER SHARPS-A-GATOR 1GAL, 8.01, 9.57, 3.88 (matched with similar item: 1482763), 
14828150, BG AUTO CLR 38X47 100/CS, 253.39, 253.39, , 
14828321, FB 4OZ PP CONT NS W/CAP 500/CS, 62.88, 62.88, , 
14828350, BG AUTO PP CLRPLN 38X47 100/CS, 218.61, 218.61, , 
1482896, BG BIO RED 2ML 30.5X41 250/CS, 257.06, 257.06, , 
148291A, SYR INSLN 28GX1/2 1CC C/PK  RX, 42.35, 42.35, 43.58 (matched with similar item: 148291B), 
148291B, SYR INSLN 28GX1/2 1CC C/PK  RX, 42.36, 42.36, 43.58, 
1482910D, SYRINGE TB 21GX1 1CC 100/PK RX, 26.99, 26.99, 27.77, 
1482910F, SYRINGE TB 26GX58 1CC 100PK RX, 28.37, 28.37, 29.19, 
1482919C, SYR ONLY ECC TIP 10CC 100/PKRX, 28.37, 28.37, 29.19, 
1482945, SYRINGE ONLY LLOK 5ML 125/PKRX, 25.76, 25.76, 26.5, 
148299, SYR TB 27GX1/2 1/2CC 100PK  RX, 33.8, 33.8, 34.77, 
14830115B, 18 GAL SHARPS CONTAINER 5/CS, 200.63, 242.93, 232.0, 
1483066C, DISPOS CONTAINER CLR LRG 10/CS, 156.55, 166.19, , 
1483210, MULTIDISH 6 WELL W/LID 85/CS, 233.95, 204.92676, 210.83, 
1483211, MULTIDISH 6 WELL W/LID 75/CS, 211.61, 178.74107999999998, 183.89, 177.41
1484000, SCALPEL SS NO10 10PK, 11.4, 10.06, 9.95, 
1484050, TB SYR 1CC 27GX1/2IN 100PK  RX, 32.14, 28.57, 28.14, 
1484131, INS SYR 1CC 28GX1/2IN 100PK RX, 23.68, 20.65, , 
1484132, INS SYR1/2CC 29GX1/2IN100PK RX, 23.68, 20.65, 20.52, 
